release_date,date_info,name,place,address,latitude,longitude,description,source_url
2026年03月13日,2026年3月11日（水）～2026年4月30日（木）,BOOK AND BED TOKYO SHINSAIBASHI 春季限定メニュー販売,BOOK AND BED TOKYO SHINSAIBASHI,大阪府大阪市中央区東心斎橋1-19-11 ウナギダニスクエア3階,None,None,本格宇治抹茶と桜を使用した春季限定メニュー「抹茶チーズケーキ」「抹茶ラテ（2種）」「桜ソーダ」を期間限定で提供,https://prtimes.jp/main/html/rd/p/000000087.000153230.html
2026年03月13日,2026年3月11日（水）～2026年4月30日（木）,抹茶チーズケーキ,BOOK AND BED TOKYO SHINSAIBASHI,大阪府大阪市中央区東心斎橋1-19-11 ウナギダニスクエア3階,None,None,濃厚な本格宇治抹茶を使用したチーズケーキ,https://prtimes.jp/main/html/rd/p/000000087.000153230.html
2026年03月13日,2026年3月11日（水）～2026年4月30日（木）,抹茶ラテ＜2種＞,BOOK AND BED TOKYO SHINSAIBASHI,大阪府大阪市中央区東心斎橋1-19-11 ウナギダニスクエア3階,None,None,都度点てた抹茶とストロベリーの2種類の風味の抹茶ラテ,https://prtimes.jp/main/html/rd/p/000000087.000153230.html
2026年03月13日,2026年3月11日（水）～2026年4月30日（木）,桜ソーダ,BOOK AND BED TOKYO SHINSAIBASHI,大阪府大阪市中央区東心斎橋1-19-11 ウナギダニスクエア3階,None,None,桜の塩漬けとシロップを使用した春らしい爽やかなドリンク,https://prtimes.jp/main/html/rd/p/000000087.000153230.html
2026年03月13日,2026年3月13日,スナボム提供開始,スナック,千代田区,,,スナックDXのスナテクが、投げ銭ライブエンターテイメント機能「スナボム」を2026年3月13日より提供開始。来店せずとも店舗を応援できる「遠隔ボム」機能により、スナック業界に新たな収益モデルを創出。,https://prtimes.jp/main/html/rd/p/000000005.000157005.html
2026年03月13日,2026年3月12日時点,"工房Smith札幌本店 Google口コミ1,000件突破",工房Smith札幌本店,〒060-0062 北海道札幌市中央区南２条西１０丁目１ オエノン北海道ビル １F,43.0572,141.3413,"手作り結婚指輪・婚約指輪専門店。Googleマップにおけるクチコミ件数が1,000件を突破。五感を刺激する独自のサービスを展開",https://prtimes.jp/main/html/rd/p/000000209.000061840.html
2026年03月13日,,手作りベビーリング,工房Smith札幌本店,〒060-0062 北海道札幌市中央区南２条西１０丁目１ オエノン北海道ビル １F,43.0572,141.3413,誕生石や刻印を自由にカスタマイズできる、世界にただ一つのオリジナルベビーリング,https://prtimes.jp/main/html/rd/p/000000209.000061840.html
2026年03月13日,,手作りペアリング,京王プラザホテル札幌,〒060-0005 北海道札幌市中央区北５条西７丁目２−１ 京王プラザホテル札幌 １F,43.0686,141.3444,京王プラザホテル札幌で手作りペアリング体験,https://prtimes.jp/main/html/rd/p/000000209.000061840.html
2026年03月13日,2026年4月27日,モニカ・ベン・ハムーダの彫刻Ya‘aburnee (Untranslated Fragment I)（未翻訳の断片）設置,ブルガリ ホテル ミラノの庭園,,,,2026年度ヴェネチア・ビエンナーレ国際美術展の全期間を通して公開,https://prtimes.jp/main/html/rd/p/000001800.000005631.html
2026年03月13日,2026年3月13日（金）～ 4月28日（火）,アワード受賞記念キャンペーン,禅坊 靖寧,兵庫県淡路市楠本字場中2594-5,,,宿泊プランまたはランチプラン利用でオリジナルアロマオイルをプレゼント,https://prtimes.jp/main/html/rd/p/000002184.000016751.html
